country	setting	pwe_total	daly_base	daly_bridged	daly_reduction	pct_reduction
Ecuador	LMIC	135000	492587.0517314531	374302.17484713293	118284.87688432017	24.012989474357177
Nigeria	LMIC	2352000	16593196.553152438	11859806.62977409	4733389.923378348	28.52608843760777
UK	HIC	646530	1337462.6174301992	1274742.4804413589	62720.1369888403	4.689487105766797
