country	severity	smr_icer_eq_threshold	smr_pce_50
Nigeria	severe	5.847576317924492	5.844866538994348
Nigeria	less_severe	8.33696280551141	8.365608419628028
Nigeria	mixed	7.992173366197575	7.992051570762145
Ecuador	severe	-Inf	-Inf
Ecuador	less_severe	4.657868565161349	4.677275468852314
Ecuador	mixed	3.690071859126406	3.686480139787049
UK	severe	-Inf	-Inf
UK	less_severe	4.047755012435283	4.071423984095999
UK	mixed	2.3907914064460614	2.3977105490658346
