country	setting	severity	gap	iter	daly_averted	incr_cost
Ecuador	LMIC	less_severe	0.2	1	0.6348001481913474	1684.9647543516335
Ecuador	LMIC	less_severe	0.30000000000000004	1	0.5290001234927892	1404.1372952930276
Ecuador	LMIC	less_severe	0.4	1	0.42320009879423104	1123.3098362344222
Ecuador	LMIC	less_severe	0.5	1	0.3174000740956737	842.4823771758165
Ecuador	LMIC	less_severe	0.6000000000000001	1	0.21160004939711552	561.6549181172109
Ecuador	LMIC	less_severe	0.7	1	0.10580002469855776	280.8274590586059
Ecuador	LMIC	less_severe	0.8	1	0	0
Ecuador	LMIC	less_severe	0.2	2	0.9087383054161156	1748.29102403514
Ecuador	LMIC	less_severe	0.30000000000000004	2	0.7572819211800961	1456.90918669595
Ecuador	LMIC	less_severe	0.4	2	0.605825536944077	1165.52734935676
Ecuador	LMIC	less_severe	0.5	2	0.45436915270805756	874.1455120175701
Ecuador	LMIC	less_severe	0.6000000000000001	2	0.3029127684720381	582.7636746783796
Ecuador	LMIC	less_severe	0.7	2	0.15145638423601948	291.38183733919027
Ecuador	LMIC	less_severe	0.8	2	0	0
Ecuador	LMIC	less_severe	0.2	3	0.7852367561807521	1591.795291363825
Ecuador	LMIC	less_severe	0.30000000000000004	3	0.6543639634839602	1326.49607613652
Ecuador	LMIC	less_severe	0.4	3	0.5234911707871683	1061.1968609092169
Ecuador	LMIC	less_severe	0.5	3	0.3926183780903765	795.8976456819128
Ecuador	LMIC	less_severe	0.6000000000000001	3	0.2617455853935837	530.598430454608
Ecuador	LMIC	less_severe	0.7	3	0.13087279269679186	265.29921522730433
Ecuador	LMIC	less_severe	0.8	3	0	0
Ecuador	LMIC	less_severe	0.2	4	0.7903390929279124	1568.523969156302
Ecuador	LMIC	less_severe	0.30000000000000004	4	0.6586159107732605	1307.1033076302506
Ecuador	LMIC	less_severe	0.4	4	0.5268927286186087	1045.6826461042006
Ecuador	LMIC	less_severe	0.5	4	0.39516954646395686	784.261984578151
Ecuador	LMIC	less_severe	0.6000000000000001	4	0.26344636430930457	522.8413230521
Ecuador	LMIC	less_severe	0.7	4	0.13172318215465229	261.4206615260505
Ecuador	LMIC	less_severe	0.8	4	0	0
Ecuador	LMIC	less_severe	0.2	5	1.1973302411485807	1309.0110202248834
Ecuador	LMIC	less_severe	0.30000000000000004	5	0.9977752009571512	1090.842516854069
Ecuador	LMIC	less_severe	0.4	5	0.79822016076572	872.6740134832553
Ecuador	LMIC	less_severe	0.5	5	0.5986651205742901	654.5055101124417
Ecuador	LMIC	less_severe	0.6000000000000001	5	0.3991100803828598	436.33700674162765
Ecuador	LMIC	less_severe	0.7	5	0.19955504019142944	218.16850337081405
Ecuador	LMIC	less_severe	0.8	5	0	0
Ecuador	LMIC	less_severe	0.2	6	0.1754794580004	1903.3524374675023
Ecuador	LMIC	less_severe	0.30000000000000004	6	0.14623288166700021	1586.1270312229187
Ecuador	LMIC	less_severe	0.4	6	0.1169863053336	1268.901624978335
Ecuador	LMIC	less_severe	0.5	6	0.08773972900020022	951.67621873375106
Ecuador	LMIC	less_severe	0.6000000000000001	6	0.05849315266679955	634.4508124891674
Ecuador	LMIC	less_severe	0.7	6	0.029246576333399332	317.22540624458406
Ecuador	LMIC	less_severe	0.8	6	0	0
