country	setting	severity	gap	da_lo	da_hi	ic_lo	ic_hi	icer	inb_oc	inb_oc_lo	inb_oc_hi	inb_1x	inb_1x_lo	inb_1x_hi	daly_averted	incr_cost	gdp_pc	thr_1x	thr_3x	thr_oc	verdict	verdict_oc
Ecuador	LMIC	less_severe	0.2	0.16971143998048732	1.2617179377368894	1248.3031331292736	1945.933583944325	2227.0855478719063	738.9000954759177	-1084.3550151454576	2550.6051415200973	3086.530735849366	-536.6193358563563	6644.322212131503	0.7223478893456764	1608.7305448975308	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.30000000000000004	0.14142619998373954	1.0514316147807412	1040.2526109410612	1621.6113199536037	2227.085547871905	615.7500795632653	-903.6291792878816	2125.5042846000797	2572.108946541139	-447.1827798802888	5536.935176776251	0.6019565744547305	1340.6087874146087	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.4	0.1131409599869917	0.8411452918245931	832.2020887528492	1297.2890559628834	2227.085547871905	492.6000636506123	-722.9033434303024	1700.4034276800662	2057.687157232912	-357.7462239042297	4429.548141421003	0.4815652595637845	1072.4870299316872	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.5	0.08485571999024387	0.6308589688684443	624.1515665646368	972.9667919721626	2227.085547871905	369.45004773795927	-542.1775075727271	1275.3025707600484	1543.265367924684	-268.3096679281737	3322.1611060657515	0.36117394467283837	804.3652724487654	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.6000000000000001	0.05657047999349518	0.4205726459122968	416.10104437642474	648.6445279814415	2227.0855478719054	246.30003182530604	-361.4516717151512	850.2017138400319	1028.8435786164555	-178.8731119521173	2214.774070710499	0.24078262978189213	536.2435149658434	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.7	0.0282852399967478	0.2102863229561484	208.05052218821237	324.32226399072096	2227.085547871905	123.15001591265317	-180.72583585757585	425.1008569200198	514.4217893082283	-89.43655597605601	1107.3870353552522	0.1203913148909462	268.12175748292196	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	less_severe	0.8	0	0	0	0	NA	0	0	0	0	0	0	0	0	6500	6500	19500	3250	n/a (base case)	n/a (base case)
Ecuador	LMIC	severe	0.2	1.0587495875107176	2.6225810696122127	1248.3031331292736	1945.933583944325	871.8266982727778	4388.303362500792	1761.872203391902	6927.771773347657	10385.337269899115	5223.410519162745	15437.677756823152	1.845241202276407	1608.7305448975308	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	severe	0.30000000000000004	0.8822913229255985	2.1854842246768444	1040.2526109410612	1621.6113199536037	871.8266982727775	3656.9194687506606	1468.2268361599215	5773.143144456382	8654.44772491593	4352.842099302289	12864.731464019294	1.5377010018970059	1340.6087874146087	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
Ecuador	LMIC	severe	0.4	0.7058330583404796	1.7483873797414757	832.2020887528492	1297.2890559628834	871.8266982727777	2925.5355750005288	1174.5814689279377	4618.514515565106	6923.558179932745	3482.273679441831	10291.785171215437	1.2301608015176049	1072.4870299316872	6500	6500	19500	3250	highly cost-effective (<1x GDP)	cost-effective (<opportunity-cost threshold)
