relapse	scenario	averted	averted_lo	averted_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_ce_oc	p_ce_1x	p_ce_3x
0	No relapse (base case)	3.0557092956972127	1.3385905738898618	4.234748221723569	2849.1671377314256	2164.1035191972333	3380.590636211811	932.4077855650005	607.3484541696104	2090.993859591102	0.538	0.968	1
0.15	Relapse 15%/cycle	2.2857440727179625	0.9946518855476922	3.16081742791347	2112.9978844692214	1622.826089567473	2505.420282348553	924.4245275266842	606.5977655902882	2083.7966155121285	0.546	0.968	1
