control_cum	control_prob	icer	averted
0.3	0.06885008490516231	998.6338727144188	2.8422697840208677
0.35	0.08254943738950193	982.0053528875327	2.892958581408978
0.4	0.09711954855256577	965.4526118325186	2.9452762739562024
0.45	0.11269579863367396	948.9357913115891	2.999437661180991
0.5	0.12944943670387588	932.4077855650005	3.0557092956972127
0.55	0.14760184159617418	915.8113434330885	3.1144287244756876
0.6000000000000001	0.1674467925981269	899.0746280187986	3.176033984620724
0.65	0.18938691690105092	882.1040927422572	3.241110910461991
0.7	0.2139969144033772	864.7723858353581	3.310473395172875
0.75	0.242141716744801	846.8962785765493	3.3853097228960314
