country	setting	severity	gap	cycle	state	prob	year	scenario
Nigeria	LMIC	less_severe	0.2	0	Death	0	0	bridged
Nigeria	LMIC	less_severe	0.2	1	Untreated	0.16933080925514524	2	bridged
Nigeria	LMIC	less_severe	0.2	1	Treated	0.6631526108201391	2	bridged
Nigeria	LMIC	less_severe	0.2	1	Controlled	0.10667127112828849	2	bridged
Nigeria	LMIC	less_severe	0.2	1	Remission	0.013524150997663147	2	bridged
Nigeria	LMIC	less_severe	0.2	1	Death	0.04732115779876412	2	bridged
Nigeria	LMIC	less_severe	0.2	2	Untreated	0.1428314547719491	4	bridged
Nigeria	LMIC	less_severe	0.2	2	Treated	0.5491782171770598	4	bridged
Nigeria	LMIC	less_severe	0.2	2	Controlled	0.192785681727948	4	bridged
Nigeria	LMIC	less_severe	0.2	2	Remission	0.02469317623043144	4	bridged
Nigeria	LMIC	less_severe	0.2	2	Death	0.09051147009261164	4	bridged
Nigeria	LMIC	less_severe	0.2	3	Untreated	0.12004310485635605	6	bridged
Nigeria	LMIC	less_severe	0.2	3	Treated	0.45434399651107116	6	bridged
Nigeria	LMIC	less_severe	0.2	3	Controlled	0.2618142971242026	6	bridged
Nigeria	LMIC	less_severe	0.2	3	Remission	0.03383245762827863	6	bridged
Nigeria	LMIC	less_severe	0.2	3	Death	0.12996614388009162	6	bridged
Nigeria	LMIC	less_severe	0.2	4	Untreated	0.10033246634139137	8	bridged
Nigeria	LMIC	less_severe	0.2	4	Treated	0.3751769485621006	8	bridged
Nigeria	LMIC	less_severe	0.2	4	Controlled	0.316514253938952	8	bridged
Nigeria	LMIC	less_severe	0.2	4	Remission	0.04120312021753752	8	bridged
Nigeria	LMIC	less_severe	0.2	4	Death	0.16677321094001862	8	bridged
Nigeria	LMIC	less_severe	0.2	5	Untreated	0.08340791415589996	10	bridged
Nigeria	LMIC	less_severe	0.2	5	Treated	0.30921694435363195	10	bridged
Nigeria	LMIC	less_severe	0.2	5	Controlled	0.35924202203691835	10	bridged
Nigeria	LMIC	less_severe	0.2	5	Remission	0.047047187450572736	10	bridged
Nigeria	LMIC	less_severe	0.2	5	Death	0.20108593200297706	10	bridged
Nigeria	LMIC	less_severe	0.8	0	Untreated	0.8	0	status_quo
Nigeria	LMIC	less_severe	0.8	0	Treated	0.19999999999999996	0	status_quo
Nigeria	LMIC	less_severe	0.8	0	Controlled	0	0	status_quo
Nigeria	LMIC	less_severe	0.8	0	Remission	0	0	status_quo
Nigeria	LMIC	less_severe	0.8	0	Death	0	0	status_quo
Nigeria	LMIC	less_severe	0.8	1	Untreated	0.677323237020581	2	status_quo
Nigeria	LMIC	less_severe	0.8	1	Treated	0.16578815270503472	2	status_quo
Nigeria	LMIC	less_severe	0.8	1	Controlled	0.026667817782072112	2	status_quo
Nigeria	LMIC	less_severe	0.8	1	Remission	0.05409660399065259	2	status_quo
Nigeria	LMIC	less_severe	0.8	1	Death	0.0761241885016596	2	status_quo
Nigeria	LMIC	less_severe	0.8	2	Untreated	0.5713258190877964	4	status_quo
Nigeria	LMIC	less_severe	0.8	2	Treated	0.13729455429426493	4	status_quo
Nigeria	LMIC	less_severe	0.8	2	Controlled	0.04819642043198699	4	status_quo
Nigeria	LMIC	less_severe	0.8	2	Remission	0.09877270492172575	4	status_quo
Nigeria	LMIC	less_severe	0.8	2	Death	0.14441050126422594	4	status_quo
Nigeria	LMIC	less_severe	0.8	3	Untreated	0.4801724194254242	6	status_quo
Nigeria	LMIC	less_severe	0.8	3	Treated	0.11358599912776776	6	status_quo
Nigeria	LMIC	less_severe	0.8	3	Controlled	0.06545357428105063	6	status_quo
Nigeria	LMIC	less_severe	0.8	3	Remission	0.1353298305131145	6	status_quo
Nigeria	LMIC	less_severe	0.8	3	Death	0.20545817665264288	6	status_quo
Nigeria	LMIC	less_severe	0.8	4	Untreated	0.4013298653655655	8	status_quo
Nigeria	LMIC	less_severe	0.8	4	Treated	0.09379423714052512	8	status_quo
Nigeria	LMIC	less_severe	0.8	4	Controlled	0.07912856348473797	8	status_quo
Nigeria	LMIC	less_severe	0.8	4	Remission	0.16481248087015007	8	status_quo
Nigeria	LMIC	less_severe	0.8	4	Death	0.26093485313902137	8	status_quo
Nigeria	LMIC	less_severe	0.8	5	Untreated	0.33363165662359984	10	status_quo
Nigeria	LMIC	less_severe	0.8	5	Treated	0.07730423608840797	10	status_quo
Nigeria	LMIC	less_severe	0.8	5	Controlled	0.08981050550922956	10	status_quo
Nigeria	LMIC	less_severe	0.8	5	Remission	0.18818874980229094	10	status_quo
Nigeria	LMIC	less_severe	0.8	5	Death	0.3110648519764717	10	status_quo
Nigeria	LMIC	severe	0.2	0	Untreated	0.2	0	bridged
Nigeria	LMIC	severe	0.2	0	Treated	0.8	0	bridged
Nigeria	LMIC	severe	0.2	0	Controlled	0	0	bridged
Nigeria	LMIC	severe	0.2	0	Remission	0	0	bridged
Nigeria	LMIC	severe	0.2	0	Death	0	0	bridged
Nigeria	LMIC	severe	0.2	1	Untreated	0.16933080925514524	2	bridged
Nigeria	LMIC	severe	0.2	1	Treated	0.6631526108201391	2	bridged
Nigeria	LMIC	severe	0.2	1	Controlled	0.10667127112828849	2	bridged
Nigeria	LMIC	severe	0.2	1	Remission	0.013524150997663147	2	bridged
Nigeria	LMIC	severe	0.2	1	Death	0.04732115779876412	2	bridged
Nigeria	LMIC	severe	0.2	2	Untreated	0.1428314547719491	4	bridged
Nigeria	LMIC	severe	0.2	2	Treated	0.5491782171770598	4	bridged
Nigeria	LMIC	severe	0.2	2	Controlled	0.192785681727948	4	bridged
Nigeria	LMIC	severe	0.2	2	Remission	0.02469317623043144	4	bridged
Nigeria	LMIC	severe	0.2	2	Death	0.09051147009261164	4	bridged
Nigeria	LMIC	severe	0.2	3	Untreated	0.12004310485635605	6	bridged
Nigeria	LMIC	severe	0.2	3	Treated	0.45434399651107116	6	bridged
Nigeria	LMIC	severe	0.2	3	Controlled	0.2618142971242026	6	bridged
Nigeria	LMIC	severe	0.2	3	Remission	0.03383245762827863	6	bridged
Nigeria	LMIC	severe	0.2	3	Death	0.12996614388009162	6	bridged
Nigeria	LMIC	severe	0.2	4	Untreated	0.10033246634139137	8	bridged
Nigeria	LMIC	severe	0.2	4	Treated	0.3751769485621006	8	bridged
Nigeria	LMIC	severe	0.2	4	Controlled	0.316514253938952	8	bridged
Nigeria	LMIC	severe	0.2	4	Remission	0.04120312021753752	8	bridged
Nigeria	LMIC	severe	0.2	4	Death	0.16677321094001862	8	bridged
Nigeria	LMIC	severe	0.2	5	Untreated	0.08340791415589996	10	bridged
Nigeria	LMIC	severe	0.2	5	Treated	0.30921694435363195	10	bridged
Nigeria	LMIC	severe	0.2	5	Controlled	0.35924202203691835	10	bridged
Nigeria	LMIC	severe	0.2	5	Remission	0.047047187450572736	10	bridged
Nigeria	LMIC	severe	0.2	5	Death	0.20108593200297706	10	bridged
Nigeria	LMIC	severe	0.8	0	Untreated	0.8	0	status_quo
Nigeria	LMIC	severe	0.8	0	Treated	0.19999999999999996	0	status_quo
Nigeria	LMIC	severe	0.8	0	Controlled	0	0	status_quo
Nigeria	LMIC	severe	0.8	0	Remission	0	0	status_quo
Nigeria	LMIC	severe	0.8	0	Death	0	0	status_quo
Nigeria	LMIC	severe	0.8	1	Untreated	0.677323237020581	2	status_quo
Nigeria	LMIC	severe	0.8	1	Treated	0.16578815270503472	2	status_quo
Nigeria	LMIC	severe	0.8	1	Controlled	0.026667817782072112	2	status_quo
