country	severity	n_draws	daly_averted	incr_cost	icer	p_ce_oc	mc_se	mc_lo	mc_hi
Ecuador	less_severe	1000	0.7223478893456764	1608.7305448975308	2227.0855478719063	0.773	0.013246546719805883	0.7470367684291805	0.7989632315708195
Ecuador	less_severe	10000	0.7138588700783638	1605.7902346173892	2249.4505593817357	0.7686	0.004217274475297998	0.7603341420284159	0.776865857971584
Ecuador	mixed	1000	0.8761842732171866	1608.7305448975308	1836.0641637524145	0.895	0.009694070352540258	0.8759996221090212	0.9140003778909789
Ecuador	mixed	10000	0.8692249141724675	1605.7902346173892	1847.3817402555212	0.8965	0.0030461081727345147	0.8905296279814403	0.9024703720185596
Ecuador	severe	1000	1.845241202276407	1608.7305448975308	871.8266982727778	1	0	1	1
Ecuador	severe	10000	1.8479175860937187	1605.7902346173892	868.972862589528	0.9999	9.999499987498824e-5	0.999704009800245	1
Nigeria	less_severe	1000	1.8802118047136043	2781.033723755944	1479.106618086335	0.135	0.010806248192596726	0.11381975354251042	0.1561802464574896
Nigeria	less_severe	10000	1.8643058813770597	2776.0595514709853	1489.0579808826562	0.1289	0.0033508922692321815	0.12233225115230491	0.13546774884769505
Nigeria	mixed	1000	2.012495715722087	2781.033723755944	1381.8830529823533	0.18	0.012149074038789953	0.15618781488397168	0.2038121851160283
Nigeria	mixed	10000	1.9980354508934768	2776.0595514709853	1389.3945426391676	0.1685	0.0037430969797749027	0.1611635299196412	0.17583647008035883
Nigeria	severe	1000	2.845787797476249	2781.033723755944	977.2456422162849	0.538	0.015765658882520576	0.5070993085902598	0.5689006914097403
Nigeria	severe	10000	2.840434126022439	2776.0595514709853	977.3363606775139	0.5482	0.004976713373301702	0.5384456417883287	0.5579543582116714
UK	less_severe	1000	0.07736156046871505	1300.681584877715	16813.021570366458	0.843	0.01150439046625244	0.8204513946861451	0.8655486053138548
UK	less_severe	10000	0.07685850315543555	1297.8184637567506	16885.814977844348	0.8416	0.00365115652910143	0.8344437332029612	0.8487562667970389
UK	mixed	1000	0.09701040475900617	1300.681584877715	13407.650324816972	0.977	0.004740358636221528	0.9677088970730058	0.9862911029269942
UK	mixed	10000	0.09669978939789703	1297.8184637567506	13421.109516759452	0.9737	0.0016002596664291702	0.9705634910537988	0.9768365089462012
UK	severe	1000	0.22078378156573059	1300.681584877715	5891.200774140572	1	0	1	1
UK	severe	10000	0.22168541003471642	1297.8184637567506	5854.325115728227	1	0	1	1
