scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
BASE	Base case	Base case	Nigeria	2.845787797476249	1.3385905738898618	4.234748221723569	2781.033723755944	2164.1035191972333	3380.590636211811	977.2456422162849	607.3484541696104	2090.993859591102	1	64.75407372030537	-1488.6865614465505	1619.8591378207143	0.538	0.968	1	severe
BASE	Base case	Base case	Nigeria	1.8802118047136043	0.3217132700736095	3.2305040735636017	2781.033723755944	2164.1035191972333	3380.590636211811	1479.106618086335	810.2261385881278	8074.845941240024	0.997	-900.8219190423395	-2503.2184619656414	537.5570010253042	0.135	0.735	0.96	less_severe
BASE	Base case	Base case	Nigeria	2.012495715722087	0.47663668625373884	3.3538178518228934	2781.033723755944	2164.1035191972333	3380.590636211811	1381.8830529823533	774.7407286477026	5814.19906577799	0.999	-768.5380080338571	-2358.5275211058483	679.1451443378677	0.18	0.779	0.976	mixed
BASE	Base case	Base case	Ecuador	1.845241202276407	1.0587495875107176	2.6225810696122127	1608.7305448975308	1248.3031331292736	1945.933583944325	871.8266982727778	540.2713490682356	1604.5225183651469	1	4388.303362500792	1761.872203391902	6927.771773347657	1	1	1	severe
BASE	Base case	Base case	Ecuador	0.7223478893456764	0.16971143998048732	1.2617179377368894	1608.7305448975308	1248.3031331292736	1945.933583944325	2227.0855478719063	1243.643047762473	9695.396018877807	1	738.9000954759177	-1084.3550151454576	2550.6051415200973	0.773	0.944	0.992	less_severe
BASE	Base case	Base case	Ecuador	0.8761842732171866	0.3163789568861589	1.4240185581962284	1608.7305448975308	1248.3031331292736	1945.933583944325	1836.0641637524145	1066.1904413448176	4876.4930163115805	1	1238.8683430583255	-543.5912824075833	3069.6935611704203	0.895	0.991	1	mixed
BASE	Base case	Base case	UK	0.22078378156573059	0.1371298807930711	0.30512212243998343	1300.681584877715	1008.0569409187281	1585.6419194531422	5891.200774140572	3707.8253209047743	9844.00268545802	1	4108.521063482685	2033.6296565487219	6277.479883701752	1	1	1	severe
BASE	Base case	Base case	UK	0.07736156046871505	0.035603478403184806	0.11861780279731782	1300.681584877715	1008.0569409187281	1585.6419194531422	16813.021570366458	10068.543336764247	36821.09562631287	1	594.6766466058035	-460.89532681477016	1685.7401339754877	0.843	0.993	1	less_severe
BASE	Base case	Base case	UK	0.09701040475900617	0.05614153657232814	0.13800882712837248	1300.681584877715	1008.0569409187281	1585.6419194531422	13407.650324816972	8444.881342567915	23632.374189991868	1	1076.0733317179363	49.343750685844554	2185.515700385834	0.977	1	1	mixed
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Nigeria	3.0717527188717155	2.237086480602363	3.911180656019082	2786.141635982236	2167.073070430047	3380.8461636790607	907.0201578614091	641.339162472083	1301.34618012672	1	285.61108288947946	-718.7436203758298	1368.1023575910328	0.695	1	1	severe
SMR-U-NGUGI	Untreated mortality	Untreated SMR 6.5 (5.0-8.3), Ngugi 2014	Nigeria	2.122308169753209	1.4371802717152662	2.849090084221141	2786.141635982236	2167.073070430047	3380.8461636790607	1312.7884421734193	897.404491017387	1957.2685015762295	1	-663.8334662290271	-1523.2406470536318	252.00434761200688	0.084	0.978	1	less_severe
