country	gap	pwe	pop_daly_averted	pop_incr_cost	daly_averted_pp	icer
Ecuador	0.2	135000	118284.87688432017	217178623.56116667	0.8761842732171864	1836.064163752415
Ecuador	0.30000000000000004	135000	98570.7307369335	180982186.30097216	0.7301535610143223	1836.0641637524138
Ecuador	0.4	135000	78856.58458954681	144785749.04077777	0.5841228488114578	1836.0641637524143
Ecuador	0.5	135000	59142.43844216011	108589311.78058334	0.4380921366085934	1836.064163752414
Ecuador	0.6000000000000001	135000	39428.29229477339	72392874.52038886	0.2920614244057288	1836.064163752414
Ecuador	0.7	135000	19714.146147386717	36196437.260194466	0.14603071220286457	1836.064163752414
Ecuador	0.8	135000	0	0	0	NA
Nigeria	0.2	2352000	4733389.923378348	6540991318.27398	2.012495715722087	1381.8830529823535
Nigeria	0.30000000000000004	2352000	3944491.6028152904	5450826098.561649	1.6770797631017391	1381.883052982353
Nigeria	0.4	2352000	3155593.2822522325	4360660878.849319	1.3416638104813914	1381.883052982353
Nigeria	0.5	2352000	2366694.961689175	3270495659.13699	1.0062478578610439	1381.8830529823529
Nigeria	0.6000000000000001	2352000	1577796.6411261158	2180330439.424659	0.6708319052406955	1381.8830529823529
Nigeria	0.7	2352000	788898.3205630587	1090165219.7123308	0.33541595262034807	1381.8830529823533
Nigeria	0.8	2352000	0	0	0	NA
UK	0.025	646530	62720.13698884026	840929665.0709891	0.09701040475900617	13407.650324816972
UK	0.05	646530	41813.42465922689	560619776.7139924	0.06467360317267086	13407.650324816947
UK	0.07500000000000001	646530	20906.712329613365	280309888.35699683	0.032336801586335305	13407.65032481703
UK	0.1	646530	0	0	0	NA
